,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
215,Luguentz Dort,OKC,22,52,18,34,29.7,104.4,111.6,-7.2,9,1.11,10.1,2.3,9.2,5.7,9,47.5,51.3,21.8,101.09,6.2,3242
215,Marc Gasol,LAL,36,52,32,20,19.1,108.5,104.2,4.3,14.5,2.06,28.9,3.9,17.4,10.8,14.1,58.2,60.6,11.7,99.96,8.3,2068
215,P.J. Tucker,MIL,36,52,27,25,26.1,109.2,114.7,-5.5,5.7,1.53,21,3.5,11.3,7.3,13.7,48.6,51,7.2,101.99,3.4,2871
215,Robert Williams III,BOS,23,52,29,23,18.9,112.4,112,0.4,13.7,1.81,21.6,13.6,23.2,18.4,12,72.1,71.9,14.5,99.97,15.2,2052
226,Danilo Gallinari,ATL,32,51,29,22,24,113,110.3,2.7,9.9,1.77,11.4,1.5,15.5,8.7,6.4,54.2,61.3,21.1,98.8,11.2,2526
226,DeAndre' Bembry,TOR,26,51,23,28,19.1,108.1,107.7,0.4,15.7,1.51,24.6,3.3,11.2,7.2,16.3,54.4,57,14.2,101.1,7.9,2046
226,James Johnson,NOP,34,51,21,30,20.5,106.4,111.4,-5,13.4,1.78,19.1,2.9,13.1,8,10.7,49.4,51,16.6,102.54,7.1,2220
226,Joel Embiid,PHI,27,51,39,12,31.1,117.8,105.8,12,15.6,0.91,10,7.8,25.4,17.2,11,54.5,63.6,35.2,100.79,20.3,3331
226,Jordan McLaughlin,MIN,25,51,15,36,18.4,102.6,108.8,-6.3,29.2,3.78,38.6,2,9,5.3,10.2,48.1,50.2,13.3,103.41,9.5,2018
226,Jordan Poole,GSW,22,51,28,23,19.4,107.6,106.9,0.7,16.1,1.94,14.8,1.5,7.4,4.4,7.6,53.5,58.1,24.6,101.94,10.1,2105
226,LaMelo Ball,CHA,19,51,23,28,28.8,108.7,111.8,-3.1,32.2,2.16,26.1,4.1,16.1,10,12.1,50.4,53.9,24.7,103.35,12.1,3169
226,Lauri Markkanen,CHI,24,51,20,31,25.8,107.1,109.9,-2.8,5.1,0.87,6.9,2.7,17.3,10.1,7.9,59.4,61.9,19.7,100.78,11,2780
226,Mike Conley,UTA,33,51,37,14,29.4,116.2,99.5,16.7,30.3,3.08,27.5,2.4,8.2,5.5,8.9,55.2,58.9,22.4,101.52,13.1,3176
